"","Type","Sector","Y2019","Y2020","Y2021","Y2022","Y2023","Y2024","Y2025","Y2026","Y2027","Y2028","Y2029","Y2030","Y2031","Y2032","Y2033","Y2034","Y2035","Y2036","Y2037","Y2038","Y2039","Y2040","Y2041","Y2042","Y2043","Y2044","Y2045","Y2046","Y2047","Y2048","Y2049","Y2050","AGR"
"1","Nonmanufacturing Sector","Agriculture/Forestry/Fishing/Hunting",517.9,524.24,533.36,543.29,551.07,559.63,568.34,576.52,584.58,592.75,601.14,610.06,619.93,629.52,638.75,648.52,657.8,666.43,674.66,682.83,690.89,699.45,708.18,716.74,725.66,734.79,744.18,753.62,763.11,772.7,782.42,792.25,0.01
"2","Nonmanufacturing Sector","Mining",750.2,772.04,803.51,821.29,824.48,831.49,840,851.1,854.47,857.65,861.25,862.7,865.91,870.93,874.32,879.94,881.28,881.01,879.36,879.02,879.35,885.76,889.91,893.21,895.1,893.33,890.72,886.41,884.23,881.84,880.25,872.26,0
"3","Nonmanufacturing Sector","Construction",1343.11,1363.03,1385.16,1406.67,1419.61,1446.1,1480,1513.47,1542.76,1575.46,1608.96,1643.72,1685.56,1709.02,1731.87,1759.41,1786.7,1809.47,1829.49,1849.8,1867.22,1890.91,1917.8,1941.38,1970.83,2004.01,2040.33,2076.54,2110.31,2142.27,2174.32,2202.31,0.02
"4","Manufacturing Sector","Food Products",915.87,934.13,954.56,975.05,991.5,1009.49,1027.33,1044.6,1061.79,1079.34,1097.37,1116.46,1137.53,1158.82,1179.54,1200.82,1221.03,1240.76,1260.09,1279.14,1298.4,1318.15,1338.03,1358.1,1378.59,1399.17,1420.22,1441.7,1463.41,1485.66,1508.29,1531.26,0.02
"5","Manufacturing Sector","Beverages and Tobacco Products",158.83,156.22,155.03,154.21,152.88,151.48,150.01,149.06,148.72,148.86,149.2,149.36,149.55,149.76,149.86,149.87,149.96,149.93,149.9,149.89,149.96,150.09,150.3,150.63,151.05,151.51,152.03,152.64,153.27,153.86,154.46,155.06,0
"6","Manufacturing Sector","Textile Mills and Products",82.4,78.78,75.49,74.22,73.21,72.03,70.51,68.97,67.57,66.36,65.26,64.21,63.19,62,60.79,59.48,58.08,56.56,55.03,53.49,51.92,50.48,49.06,47.82,46.69,45.59,44.51,43.45,42.44,41.43,40.46,39.49,-0.02
"7","Manufacturing Sector","Wood Products",94.58,95.4,97.06,98.61,99.44,100.42,102.27,103.7,104.68,105.61,106.57,107.46,108.39,107.72,107.13,107.85,109.25,109.16,108.09,107.73,106.59,106.74,107.39,107.21,107.82,109.67,111.77,113.6,114.94,115.71,116.47,117.31,0.01
"8","Manufacturing Sector","Furniture and Related Products",74.81,75.14,74.54,74.74,76.04,77.09,77.85,78.63,79.41,80.21,81.02,81.92,82.72,83.58,84.57,85.45,86.46,87.57,88.5,89.46,90.44,91.41,92.38,93.31,94.3,95.44,96.57,97.83,98.93,100.02,101.25,102.35,0.01
"9","Manufacturing Sector","Paper Products",171.63,170.41,169.67,169.64,169.79,170.46,170.99,171.85,172.54,173.41,174.24,175.16,176.12,177.03,177.89,178.77,179.56,180.29,181.16,182.03,182.88,183.75,184.6,185.49,186.52,187.32,188.18,189.29,190.63,191.7,192.73,193.56,0
"10","Manufacturing Sector","Printing",75.65,73.9,73.26,72.92,72.55,72.24,71.88,71.57,71.25,70.95,70.65,70.39,70.15,69.89,69.67,69.41,69.13,68.91,68.73,68.52,68.32,68.15,67.98,67.78,67.61,67.4,67.22,67,66.82,66.62,66.41,66.15,0
"11","Manufacturing Sector","Chemical Manufacturing",830.19,844.93,866.64,888.76,912.91,933.29,951,967.39,983.46,1000.86,1018.73,1038.4,1057.49,1076.67,1096.65,1117.38,1138.93,1158.75,1177.73,1196.84,1216.87,1237.46,1258.77,1282.53,1305.43,1330.32,1355.9,1384.88,1413.68,1439.04,1463.65,1485.27,0.02
"12","Manufacturing Sector","Bulk Chemicals",439.4,448.35,466.18,481.37,497,509.13,518.44,526.3,533.86,542.23,550.41,559.75,567.67,575.19,582.82,590.79,599.12,606.35,613.47,620.77,628.52,636.51,644,653.27,661.08,669.75,678.51,688.5,697.11,705.73,715.92,723.2,0.02
"13","Manufacturing Sector","Inorganic",44.5,43.94,42.49,42.59,43.82,44.75,45.28,45.79,46.29,46.87,47.44,48.03,48.48,48.87,49.3,49.83,50.39,50.98,51.62,52.25,52.93,53.59,54.16,54.76,55.39,56.05,56.74,57.45,58.09,58.72,59.39,60.02,0.01
"14","Manufacturing Sector","Organic",236.26,241.13,254.3,264.51,273.85,281.07,287.06,292,296.9,302.46,307.71,313.9,318.76,323.35,327.98,332.76,337.82,342.16,346.35,350.68,355.38,360.16,364.63,370.77,375.36,380.66,385.99,392.41,397.7,402.93,409.66,413.56,0.02
