"","Type","Sector","Y2020","Y2021","Y2022","Y2023","Y2024","Y2025","Y2026","Y2027","Y2028","Y2029","Y2030","Y2031","Y2032","Y2033","Y2034","Y2035","Y2036","Y2037","Y2038","Y2039","Y2040","Y2041","Y2042","Y2043","Y2044","Y2045","Y2046","Y2047","Y2048","Y2049","Y2050","AGR"
"1","Nonmanufacturing","Agriculture/Forestry/Fishing/Hunting",498.04,528.47,543.58,552.09,560.84,570,578.24,586.12,593.8,601.62,609.86,618.21,627.32,637.13,647.77,658.36,668.78,678.92,689.08,699.38,709.78,720.49,731.33,742.22,753.33,764.66,776.02,787.56,799.41,811.48,823.8,0.02
"2","Nonmanufacturing","Mining",717.91,690.2,714.97,745.61,762.04,781.73,791.69,792.79,797.31,802,807.38,810.71,810.85,815.21,818.1,815.84,813.37,813.51,814.86,816.53,816.59,817.07,822.71,830.76,836.6,836.67,840.79,843.9,846.36,848.19,846.99,0.01
"3","Nonmanufacturing","Construction",1319.28,1296.06,1310.44,1342.37,1380.76,1421.48,1454.64,1478.89,1497.69,1515.84,1536.32,1561.96,1587.44,1610.45,1635.41,1662.45,1682.84,1700.96,1724.81,1748.82,1777.52,1809.3,1840.23,1876.66,1916.01,1954.56,1991.72,2027.1,2065.64,2107.42,2151.43,0.02
"4","Manufacturing","Food Products",892.21,951.64,981.11,999.32,1018,1037.43,1055.36,1072.75,1089.95,1107.41,1125.71,1144.02,1163.85,1185.52,1209.17,1232.25,1255.16,1277.68,1299.94,1322.58,1345.34,1368.57,1392.47,1416.45,1440.64,1465.27,1490.17,1515.67,1542.01,1568.9,1596.3,0.02
"5","Manufacturing","Beverages and Tobacco Products",150.4,148.69,150.22,149.89,149.32,148.9,148.55,148.38,148.3,148.24,148.15,148.26,148.58,148.94,149.55,150.4,151.22,151.94,152.68,153.52,154.39,155.35,156.45,157.62,158.79,159.97,161.2,162.46,163.75,165.08,166.44,0
"6","Manufacturing","Textile Mills and Products",63.12,60.39,61.69,61.25,60.04,59.41,58.71,57.71,56.41,55.09,54.12,53.3,52.31,51.16,50.07,48.93,47.59,46.32,45.28,44.27,43.25,42.3,41.54,40.85,40.1,39.28,38.45,37.62,36.86,36.15,35.42,-0.02
"7","Manufacturing","Wood Products",91.31,94.03,98.49,97.39,96.94,97.38,96.68,95.94,95.04,94.47,94.58,94.79,94.91,93.98,92.44,92.41,92.22,91.98,92.85,93.42,94.1,95.79,97.09,98.67,100.65,102.81,104.57,105.99,107.58,109.24,111.16,0.01
"8","Manufacturing","Furniture and Related Products",63.52,62.59,65.84,66.23,66.9,68.75,69.69,70.43,70.99,71.81,72.79,74.12,74.77,75.2,76.19,77.27,78.08,78.68,79.76,80.73,81.23,82.26,83.88,85.57,86.74,87.86,89.23,90.01,91.4,92.83,94.16,0.01
"9","Manufacturing","Paper Products",168.22,171.09,173.87,173.49,174.64,175.67,176.6,177.17,177.7,178.24,179.16,180.03,180.53,180.88,181.28,181.52,181.55,181.82,182.28,182.57,182.53,182.71,183.46,184.34,184.8,185.29,186,187.23,188.16,189.41,190.5,0
"10","Manufacturing","Printing",62.25,59.9,60.4,59.72,59.21,58.73,58.15,57.78,57.64,57.59,57.55,57.4,57.08,56.7,56.2,55.71,55.32,55.09,54.85,54.53,54.22,54.01,53.81,53.52,53.2,52.95,52.68,52.48,52.28,52.04,51.78,-0.01
"11","Manufacturing","Chemical Manufacturing",802,818.3,853.11,867.49,889.88,911.86,931.54,948.67,966.03,983.53,1002.89,1022.24,1039.4,1057.72,1078.15,1099.29,1117.25,1135.4,1154.34,1171.77,1187.74,1206.78,1230.58,1254.36,1276.13,1298.59,1319.73,1339.83,1360.1,1384.7,1408.56,0.02
"12","Manufacturing","Chemical Manufacturing",425.08,429.79,443.51,448.97,462.48,473.77,481.4,486.87,493.37,500.31,509.05,517.13,522.73,529.19,536.62,543.77,548.05,553.44,558.62,561.16,561.62,564.07,569.75,574.55,576.99,580.67,583.59,586.82,590.17,596.97,602.78,0.01
"13","Manufacturing","Chemical Manufacturing",41.69,43.34,45.15,45.77,46.8,47.22,47.62,47.73,47.87,47.96,48.19,48.39,48.49,48.65,48.87,49.03,49.03,49.22,49.43,49.51,49.3,49.41,49.87,50.45,50.77,51.03,51.07,51.18,51.23,51.7,52.11,0.01
"14","Manufacturing","Chemical Manufacturing",225.52,226.31,235.14,238.22,245.96,252.75,257.31,260.58,264.61,268.77,274.28,279.24,282.53,286.35,290.75,295.47,298.27,301.74,305.03,306.56,307.01,308.51,312.16,315.03,316.45,318.7,320.59,322.49,324.46,328.99,332.47,0.01
"15","Manufacturing","Chemical Manufacturing",106,108,110.61,112.29,116.16,119.26,120.96,122.27,123.78,125.58,127.54,129.48,130.96,132.74,134.83,136.51,137.74,139.18,140.55,141.37,141.56,142.17,143.33,144.26,144.72,145.63,146.46,147.47,148.5,149.94,151.46,0.01
"16","Manufacturing","Chemical Manufacturing",51.88,52.14,52.6,52.69,53.56,54.54,55.5,56.29,57.1,58.01,59.04,60.02,60.76,61.46,62.17,62.75,63,63.31,63.6,63.73,63.74,63.98,64.39,64.81,65.04,65.3,65.46,65.68,65.97,66.35,66.74,0.01
