"","Type","Sector","Y2022","Y2023","Y2024","Y2025","Y2026","Y2027","Y2028","Y2029","Y2030","Y2031","Y2032","Y2033","Y2034","Y2035","Y2036","Y2037","Y2038","Y2039","Y2040","Y2041","Y2042","Y2043","Y2044","Y2045","Y2046","Y2047","Y2048","Y2049","Y2050","AGR"
"1","Nonmanufacturing Sector","Agriculture/Forestry/Fishing/Hunting",545.78,545.04,550.02,557.39,565.91,573.5,580.22,586.11,591.38,596.97,602.6,607.97,612.48,616.59,620.12,624.81,629.28,633.78,638.53,643.14,647.88,652.48,656.71,661.03,665.26,669.47,673.57,677.73,681.94,0.01
"2","Nonmanufacturing Sector","Mining",722.18,701.53,702.09,704.14,709.15,706.47,708.54,706.83,708.71,711.2,717.27,723.08,726.82,728.95,731.62,734.79,736.19,739.04,738.38,738.59,740.93,745.11,749.24,749.9,752.71,752.02,755.06,759.27,763.39,0
"3","Nonmanufacturing Sector","Construction",1413.12,1382.28,1372.05,1393.88,1407.65,1408.92,1419.68,1453.19,1475.32,1477.53,1475.79,1478,1479.7,1486.9,1499.71,1518.98,1541.06,1559.66,1581.42,1606.94,1626.98,1644.37,1661.71,1681.64,1702.33,1722.48,1739.53,1754.66,1777.88,0.01
"4","Manufacturing Sector","Food Products",939.78,954.45,964.02,972.91,985.46,999.4,1013.44,1025.61,1037.67,1051.09,1062.8,1072.36,1082.51,1093.74,1105.59,1117.12,1128.8,1140.91,1153,1164.76,1177.15,1189.28,1201.21,1213.05,1224.39,1235.9,1247.53,1259.22,1270.89,0.01
"5","Manufacturing Sector","Beverages and Tobacco Products",147.62,145.37,143.51,142.09,141.56,141.63,142.03,142.22,142.02,141.66,141.52,141.29,140.66,139.88,139.18,138.63,138.16,137.73,137.43,137.28,137.25,137.28,137.34,137.39,137.49,137.73,138.53,139.42,140.32,0
"6","Manufacturing Sector","Textile Mills and Products",66.69,65.67,65,65.03,66.26,67.77,68.83,69.29,69.39,69.7,70.34,70.87,71.19,71.3,71.22,70.94,70.52,69.96,69.6,69.25,68.8,68.35,67.76,67.12,66.56,66.08,65.54,64.96,64.5,0
"7","Manufacturing Sector","Wood Products",109.16,99.19,96.54,98.35,97.09,96.66,97.91,99.57,100.33,100.71,101.9,103.35,105.11,106.08,105.74,106.27,106.63,107.18,108.01,109.22,110.2,110.84,110.92,110.27,109.85,109.99,109.76,109.85,111,0
"8","Manufacturing Sector","Furniture and Related Products",72.96,71.93,72.08,72.48,74.28,76.28,77.13,78.03,78.8,79.52,81.38,82.3,83.11,84.55,85.97,87.38,89,90.36,91.7,93.6,95.36,96.74,97.68,98.19,99.42,100.9,101.98,102.47,105.48,0.01
"9","Manufacturing Sector","Paper Products",178.25,174.16,170.29,170.04,170.92,171.98,173,173.92,174.72,175.95,177.36,178.54,179.8,181.14,182.16,183.32,184.3,185.35,186.47,187.51,188.64,189.6,190.21,190.61,191.4,192.59,193.09,193.76,195.15,0
"10","Manufacturing Sector","Printing",81,79.59,78.6,78.23,78.01,77.75,77.97,78.27,78.81,79.49,79.36,78.68,78.11,77.66,77.29,77,76.77,76.54,76.74,76.61,76.09,75.88,75.89,76.63,77.28,77.72,77.96,78.92,79.63,0
